Stn Id,Stn Name,CIMIS Region,Month Year,Total ETo (in),qc,Total Precip (in),qc,Avg Sol Rad (Ly/day),qc,Avg Vap Pres (mBars),qc,Avg Max Air Temp (F),qc,Avg Min Air Temp (F),qc,Avg Air Temp (F),qc,Avg Max Rel Hum (%),qc,Avg Min Rel Hum (%),qc,Avg Rel Hum (%),qc,Avg Dew Point (F),qc,Avg Wind Speed (mph),qc,Avg Soil Temp (F),qc
2,FivePoints,San Joaquin Valley,Jan 2022,1.74, ,0.27,K,226, ,8.8, ,61.0, ,35.5, ,47.1, ,98, ,53, ,79, ,40.7, ,3.6, ,51.9, 
2,FivePoints,San Joaquin Valley,Feb 2022,3.22,K,0.06, ,364, ,6.0,K,68.1,K,33.9,K,50.1,K,76, ,26, ,48,K,30.8,K,4.7,K,51.8, 
2,FivePoints,San Joaquin Valley,Mar 2022,4.81, ,0.82,K,440, ,8.5,K,72.7,K,42.1, ,57.6,K,79, ,32, ,52,K,39.2,K,5.8, ,57.1, 
2,FivePoints,San Joaquin Valley,Apr 2022,6.59, ,0.12,K,549,K,8.2,K,75.8,K,46.0, ,61.4,K,72, ,27, ,44,K,38.8,K,7.2,K,65.2,K
2,FivePoints,San Joaquin Valley,May 2022,9.13, ,0.00, ,671,K,8.6, ,83.0, ,50.6,K,68.2,K,62, ,22, ,36,K,40.1,K,8.3,K,67.1, 
2,FivePoints,San Joaquin Valley,Jun 2022,9.65, ,0.00, ,699,K,10.6, ,92.1,K,58.4, ,77.0, ,58, ,21, ,34, ,45.6, ,7.3,K,73.0, 
2,FivePoints,San Joaquin Valley,Jul 2022,9.44, ,0.00, ,681,K,12.7,K,96.7,K,64.3,K,81.6, ,57, ,22, ,35,K,50.5,K,5.8, ,78.9, 
2,FivePoints,San Joaquin Valley,Aug 2022,8.46, ,0.00, ,562, ,13.1, ,98.5,K,64.8,K,82.3,K,61, ,21, ,35,K,51.4,K,5.7, ,79.7,K
2,FivePoints,San Joaquin Valley,Sep 2022,5.98,K,0.65,K,421,K,12.7,K,92.8,K,62.3,K,77.6,K,67,K,26,K,41,K,50.7,K,5.3,K,77.8,L
2,FivePoints,San Joaquin Valley,Oct 2022,3.95,K,0.00, ,304,K,9.9, ,84.1, ,49.8, ,66.3,K,71, ,25, ,44,K,43.6,K,4.5,K,70.1, 
2,FivePoints,San Joaquin Valley,Nov 2022,2.21,K,0.46,K,251, ,7.1, ,64.1,K,32.8, ,47.2,K,89, ,38, ,64,K,35.2,K,3.9, ,57.4,L
2,FivePoints,San Joaquin Valley,Dec 2022,0.75, ,2.70,K,120, ,9.6,K,52.9,K,38.6, ,45.4, ,99, ,77, ,91,K,42.9,K,4.1,K,55.9,L
5,Shafter,San Joaquin Valley,Jan 2022,1.83, ,0.04, ,255,K,9.2, ,61.7, ,36.4, ,47.5, ,100, ,54, ,82, ,42.2, ,3.0, ,50.2, 
5,Shafter,San Joaquin Valley,Feb 2022,3.10, ,0.06, ,391,K,7.9, ,71.0,K,37.1, ,53.1,K,93, ,28, ,57,K,38.2,K,3.7, ,52.2, 
5,Shafter,San Joaquin Valley,Mar 2022,4.61,K,1.02, ,484,K,9.7, ,73.7,K,43.9, ,58.2,K,92, ,31, ,59,K,43.2,K,4.0,K,60.5,K
5,Shafter,San Joaquin Valley,Apr 2022,6.24, ,0.33, ,625,K,10.3,K,77.9,K,47.7,K,62.5,K,87, ,28, ,53,K,44.7,K,4.5,K,69.2,K
5,Shafter,San Joaquin Valley,May 2022,8.14, ,0.00, ,705,K,10.2,K,84.7, ,51.7,K,68.6,K,75, ,21, ,42,K,44.5,K,5.0,K,76.9,K
5,Shafter,San Joaquin Valley,Jun 2022,8.59, ,0.07, ,717,K,13.3, ,94.3,K,59.8,K,77.7, ,73, ,20, ,41, ,51.7, ,4.5,K,81.1,K
5,Shafter,San Joaquin Valley,Jul 2022,9.23,K,0.00, ,692,K,17.9, ,103.1,L,69.2,K,86.5,K,70,K,21,K,41,L,59.7,L,4.4,K,83.2, 
5,Shafter,San Joaquin Valley,Aug 2022,8.61,K,0.00, ,633,K,15.5, ,101.3,L,66.9,L,83.8,K,67, ,21, ,39,K,56.0,K,4.3,K,83.4,K
5,Shafter,San Joaquin Valley,Sep 2022,6.34,K,0.00, ,513, ,15.0,K,94.6,K,63.6,K,78.6,K,73, ,26, ,46,K,55.2,K,4.0,K,80.2,K
5,Shafter,San Joaquin Valley,Oct 2022,4.45, ,0.00, ,420,K,12.4, ,83.6, ,51.7,K,66.8,K,81, ,31, ,54,K,49.5,K,3.2,K,72.5, 
5,Shafter,San Joaquin Valley,Nov 2022,2.33, ,0.38, ,308,K,7.9, ,65.0, ,34.8, ,48.3, ,92, ,40, ,68, ,38.1, ,3.1,K,59.4, 
5,Shafter,San Joaquin Valley,Dec 2022,0.97, ,1.87, ,155, ,9.1,K,54.0, ,37.8,K,45.1,K,98, ,70, ,88,K,41.5,K,3.5,K,53.0, 
6,Davis,Sacramento Valley,Jan 2022,1.88,K,0.11,K,234,K,9.2,K,60.5, ,37.5, ,47.9,K,99,K,56,K,81, ,42.1, ,4.3,K,49.6,K
6,Davis,Sacramento Valley,Feb 2022,3.15, ,0.02, ,339, ,7.2,K,66.5,K,38.4,K,51.4, ,81, ,31, ,55,K,35.1,K,5.5,K,49.9, 
6,Davis,Sacramento Valley,Mar 2022,4.56,K,1.06, ,414, ,9.0,K,71.1,K,44.3,K,57.1,K,86, ,33, ,57,L,40.2,L,5.7,K,54.4, 
6,Davis,Sacramento Valley,Apr 2022,6.14, ,0.57,K,532, ,8.4,K,74.2,K,46.4,K,60.0,K,81, ,26, ,48,K,39.2,K,6.9,K,57.4, 
6,Davis,Sacramento Valley,May 2022,8.40,K,0.01, ,626, ,9.2,K,81.9,K,50.7,K,66.9,K,79,K,22,K,43,L,42.1,L,7.3,K,63.0, 
6,Davis,Sacramento Valley,Jun 2022,8.77, ,0.23, ,663, ,11.6,K,90.5, ,58.0,K,74.0,K,71, ,22, ,41,K,47.9,K,6.1, ,67.6, 
6,Davis,Sacramento Valley,Jul 2022,8.22, ,0.01, ,658, ,14.5, ,91.8, ,56.2, ,72.8, ,91, ,29, ,53, ,54.5, ,5.3,K,68.6,K
6,Davis,Sacramento Valley,Aug 2022,7.35,K,0.00, ,582, ,14.7, ,94.0, ,57.2, ,74.8, ,90, ,24, ,50, ,54.9, ,4.7, ,68.4, 
6,Davis,Sacramento Valley,Sep 2022,5.56,K,2.94, ,444, ,13.7,K,90.2,K,58.5,K,73.8,K,86,K,28,K,54,L,53.2,L,4.7,K,69.9, 
6,Davis,Sacramento Valley,Oct 2022,3.94, ,0.09, ,363, ,11.7, ,81.9, ,48.8, ,64.0, ,90, ,31, ,56, ,47.7, ,3.9, ,65.0, 
